Title,Description,Level
Linux Networking,"Aprenda a configurar redes em Linux, incluindo interfaces, firewall com iptables, SSH, servidores web e DNS.",advanced
Linux Security Fundamentals,"Conheça as práticas de segurança em Linux: hardening do sistema, auditoria de logs, controle de acesso e criptografia.",intermediate
Linux Shell Scripting,"Automatize tarefas no Linux criando scripts em Bash. Trabalhe com variáveis, loops, funções e manipulação de arquivos.",beginner
Linux for Data Science,"Configure ambientes Linux para ciência de dados, incluindo Python, R, bibliotecas de machine learning e gerenciamento de pacotes.",intermediate
Linux Server Management,"Aprenda a instalar, configurar e manter servidores Linux em produção, com foco em alta disponibilidade e desempenho.",advanced
Linux File Systems,"Explore os sistemas de arquivos do Linux: ext4, XFS, montagem de partições, gerenciamento de discos e LVM.",intermediate
Linux Fundamentals for DevOps,"Use Linux como base para pipelines de CI/CD, containers Docker, Kubernetes e automação de infraestrutura.",intermediate

Data Engineering with AWS,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and manage massive datasets.",intermediate
Product Manager,"Envision and execute the development of industry-defining products, and learn how to successfully bring them to market.",beginner
C++,Get hands-on experience building five real-world projects in this popular general-purpose programming language.,intermediate
Business Analytics,"Gain foundational data skills like analyzing data, modeling business scenarios, and communicating findings.",beginner
Data Scientist,"Build effective machine learning models, run data pipelines, build recommendation systems, and deploy solutions to the cloud with industry-aligned projects.",advanced
Introduction to Programming,"A first step for beginners towards careers in web and app development, machine learning, data science, AI, and more.",beginner
Digital Marketing,"Meet the growing demand for skilled digital marketers by learning the latest technologies for building impactful marketing strategies.
",beginner
Data Analyst,"Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.",intermediate
Deep Learning,Deep learning is driving advances in artificial intelligence that are changing our world—enroll now and learn to build and apply your own deep neural networks.,intermediate
Programming for Data Science with Python,"Learn the fundamental programming tools for data professionals: Python, SQL, terminal, and Git.",beginner
Full Stack Web Developer,"Learn to design and develop powerful modern web applications that form the foundation for the apps, websites, and systems that people and businesses use every day.",intermediate
AWS Machine Learning Engineer,Learn the data science and machine learning skills required to build and deploy machine learning models in production using Amazon SageMaker.,intermediate
SQL,"Master SQL, the core language for big data analysis, to enable insight-driven decision-making and strategy.",beginner
Machine Learning DevOps Engineer,Gain the DevOps skills required to automate the various aspects and stages of building and monitoring machine learning models.,advanced
Artificial Intelligence for Trading,"Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.",intermediate
React,Learn to build declarative user interfaces for the web with React as well as manage state more predictably in your applications with Redux.,intermediate
Self-Driving Car Engineer,Learn the techniques that power self-driving cars across the full stack of a vehicle’s autonomous capabilities.,advanced
UX Designer,Design impactful user experiences for products in today’s digital world.,beginner
Java Developer,"Learn back-end development with Java, one of the most popular programming languages in the world.",intermediate
Data Engineering with Microsoft Azure ,Master job-ready Azure skills like designing data models and utilizing other in-demand components of the cloud computing service.,intermediate
AI Programming with Python,"Learn Python, NumPy, pandas, Matplotlib, PyTorch, calculus, and linear algebra—the foundations for building your own neural network.",beginner
Data Product Manager,Apply data science best practices to build products that deliver the right experience to the right users—at the right time.,intermediate
Intermediate Python,"Learn how to plan, design, and implement enterprise data infrastructure solutions and create the blueprints for your organization’s data success.",intermediate
Growth Product Manager,"Lead experimentation and data-driven decision-making to drive products to the next level of scale, impact, and profitability.",intermediate
Front End Web Developer,Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web.,intermediate
Blockchain Developer,"Demand for blockchain developers is skyrocketing. In this program, you'll work with the Bitcoin and Ethereum protocols, build projects for real-world application, and gain the essential skills for a career in this dynamic space.",intermediate
Deep Reinforcement Learning,Master the deep reinforcement learning skills that are powering amazing advances in AI—and start applying these skills to applications like video games and robotics.,advanced
Computer Vision,"Learn the in-demand skills of computer vision, a growing field of AI, that empower advancements in robotics and automation.",advanced
Data Structures and Algorithms,Get hands-on practice with over 100 data structures and algorithm exercises with technical mentor support when needed to help prepare you for the workplace.,intermediate
Robotics Software Engineer,"Build five hands-on projects to acquire core robotics software engineering skills: ROS, Gazebo, localization, mapping, SLAM, navigation, and path planning.",advanced
AI Product Manager,Develop AI products that deliver real business value by building skills that help you compete in the new AI-powered world.,beginner
Android Kotlin Developer,"Master Android app development with Kotlin, a modern programming language that enables developers to be more productive.",intermediate
Java Programming,"Elevate your Java abilities with the fundamental skills used by developers to design, code, test, and deploy cutting-edge Java software.",intermediate
Cloud DevOps Engineer,Companies are looking for talented DevOps engineers to remain competitive in this agile world. Enroll now to master skills like operationalizing infrastructure at scale and delivering applications and services at high velocity.,intermediate
Data Architect,"Learn how to plan, design and implement enterprise data infrastructure solutions and create the blueprints for your organization’s data success.",advanced
Data Analysis and Visualization with Microsoft Power BI,"Utilize Microsoft Power BI as a primary tool for data pre-processing, visualization, and analysis.",beginner
Natural Language Processing,"Learn the job-ready skills that progress computers to be able to understand, process, and respond to human language.",advanced
Intro to Self-Driving Cars,This introductory program is the perfect way to start your journey into the future of transportation—flying cars.,intermediate
Full Stack JavaScript Developer,"Find success as a full stack developer by focusing on topics like UI, UX, APIs, server side business logic, persistence layers, and more.",intermediate
Introduction to Cybersecurity,"Get your start in the high growth field of cybersecurity by building foundational skills including evaluating, maintaining, and monitoring the security of computer systems.",beginner
Data Streaming,Learn how to stream data to unlock key insights in real-time.,advanced
Cloud Developer,Cloud development is the foundation for the new world of software development. Enroll now to build and deploy production-ready full stack apps at scale on AWS.,intermediate
Intro to Machine Learning with TensorFlow,"Build a solid foundation in supervised, unsupervised, and deep learning. Then, use these skills to test and deploy machine learning models in a production environment.",intermediate
Sensor Fusion Engineer,"Learn to fuse lidar point clouds, radar signatures, and camera images using Kalman Filters to detect and track vehicles and pedestrians over time.",advanced
Predictive Analytics For Business,"Learn essential AI concepts including search, optimization, planning, pattern recognition, and more from experts like Peter Norvig and Sebastian Thrun.",beginner
Intermediate JavaScript,"Master JavaScript, the most popular programming language in the world. Be equipped for advanced roles in web development, server-side application development, and desktop development.",intermediate
Agile Software Development,"Get equipped with the skills you need to guide the delivery of high value products with top notch software development teams.
",beginner
Intro to Machine Learning with PyTorch,"Build a solid foundation in supervised, unsupervised, and deep learning. Then, use these skills to test and deploy machine learning models in a production environment.",intermediate
AWS Cloud Architect,"Build confidence planning, designing, and creating high availability cloud infrastructure.",advanced
AI for Business Leaders,"Master the foundations of artificial intelligence so you can strategically implement machine learning technology in your organization, and leverage it for corporate growth.",intermediate
AI for Healthcare,Be at the forefront of the AI revolution in healthcare and transform patient outcomes by enabling enhanced medical decision-making powered by machine learning.,advanced
iOS Developer,"Master the Swift programming language, and create a portfolio of iOS apps for iPhone and iPad to showcase your skills!",beginner
Flying Car and Autonomous Flight Engineer,"Master job-ready autonomous flight software engineering skills as you tackle advanced challenges, write real code for real aircraft, and develop a systems understanding of the Flying Car full-stack.",advanced
Artificial Intelligence,"Learn essential Artificial Intelligence concepts from AI experts like Peter Norvig and Sebastian Thrun, including search, optimization, planning, pattern recognition, and more.",advanced
Digital Project Management,"Build confidence translating business requirements into project scope statements, creating project plans, and developing a high-performing team.
",beginner
Cloud Native Application Architecture,"Learn to run and manage scalable applications in a cloud native environment using open source tools and projects like ArgoCD, gRPC, and Grafana.",intermediate
Data Visualization,"Combine data, visuals, and narrative to tell impactful stories and make data-driven decisions.",beginner
Marketing Analytics,"Learn to collect and analyze data, model marketing scenarios, and communicate your findings with Excel, Tableau, Google Analytics, and Data Studios.",beginner
Cloud Architect using Microsoft Azure,"Meet the growing demand for Azure cloud architects and learn the skills to translate business requirements into technical specifications for reliable, scalable, and secure cloud infrastructure using Microsoft Azure.",advanced
Ethical Hacker,"Learn how to find and exploit vulnerabilities, design and execute penetration testing plans, and report on test findings.",advanced
RPA Developer with UiPath,Build the operational processes that enable the businesses of the future.,beginner
Privacy Engineer,"Master the skills necessary to become a successful privacy engineer. Learn to create technical solutions and implement privacy principles by integrating Privacy-by-Design into product development, data infrastructure, and software release lifecycles.",intermediate
Machine Learning Engineer for Microsoft Azure,"Strengthen your machine learning skills and build practical experience by training, validating, and evaluating models using Azure Machine Learning. ",intermediate
Data Science for Business Leaders,"Master the people, platforms, and processes required to leverage the power of Data Science in your business.",intermediate
Security Engineer,Take advantage of the growing need for skilled security professionals by mastering the sought-after skills to protect an organization’s computer networks and systems from security threats or attacks.,intermediate
Site Reliability Engineer,"Learn to build automation tools that ensure designed solutions respond to requirements such as availability, performance, security, and maintainability.",intermediate
Cloud DevOps using Microsoft Azure,"Learn how to deploy, test, and monitor cloud applications on Azure, one of the most popular cloud services platforms across the globe.",intermediate
Security Analyst,"Learn to identify, correct, and respond to security weaknesses and incidents through open-ended projects that mimic workplace security challenges.",intermediate
Digital Freelancer,The goal of the Digital Freelancer Nanodegree program is to prepare students to enter the digital marketplace by teaching key skills to create a successful digital business. Students will learn freelancing basics and essential skills as well as how to build their personal brand to start a successful online business in the global freelancing marketplace.,beginner
Cloud Developer using Microsoft Azure,"Master critical cloud computing skills used to deploy, build, migrate, and monitor applications on Azure.",intermediate
Golang,"Discover Golang’s implementation of traditional programming features, as well as extra features that make it a powerful tool.",beginner
Data Privacy,Equip yourself with industry-guided data privacy best practices for physical or virtual office environments.,beginner
Cloud Computing for Business Leaders,Focus on the unique knowledge and skills that business leaders need to unlock the value of cloud technologies in their organizations.,intermediate
Security Architect,The goal of the Security Architect Nanodegree is to equip learners with the necessary skills to implement elements of security infrastructure design and management at an enterprise level.,intermediate
Enterprise Security,"This program addresses security topics related to corporate environments, which are often distinct from production environments and center around the devices, identities, and infrastructure used by personnel on a daily basis.",intermediate
AI Engineer using Microsoft Azure,"Master the skills necessary to implement machine learning models, build end-to-end AI solutions, and manage continuous improvement of an Azure AI solution.",advanced
Programming for Data Science with R,"Prepare for a data science career by learning the fundamental data programming tools: R, SQL, command line, and git.",beginner
Zero Trust Security,Learners leave the course with a reinvigorated perspective on cybersecurity and a lexicon of practices and solutions that support what is rapidly becoming the new dominant strategy in enterprise security.,intermediate
Cybersecurity for Business Leaders,Learn to leverage the capabilities of cybersecurity best practices to protect your organization and unlock next-level results.,beginner
Ethical AI,"Learn to apply ethical AI to minimize bias, while maximizing fairness and explainability, ensuring an ethical future for all.",intermediate
AWS Machine Learning Foundations Course,Learn what machine learning is and the steps involved in building and evaluating models. Gain in demand skills needed at businesses working to solve challenges with AI.,intermediate
Introduction to Machine Learning using Microsoft Azure,"Gain a high-level introduction to the field of machine learning and prepare to use Azure Machine Learning Studio to train machine learning models. Plus, learn how to perform a variety of tasks on Azure Machine Learning labs — from data import, transformation and management to training, validating and evaluating models.",intermediate
AI Fundamentals,"AI Fundamentals is an entry point into the world of AI using Microsoft's cloud-based solutions, such as Azure Machine Learning and Azure Cognitive Services.",beginner
Linear Algebra Refresher Course,Learn linear algebra by doing: you will code your own library of linear algebra functions!,intermediate
Machine Learning: Unsupervised Learning,Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? The answer can be found in Unsupervised Learning!,intermediate
Big Data Analytics in Healthcare,"In this course, we introduce the characteristics of medical data and associated data mining challenges on dealing with such data. We cover various algorithms and systems.",intermediate
Intel® Edge AI Fundamentals with OpenVINO™,Stay at the cutting-edge of AI technology by gaining practical skills for deploying edge AI. Learn how to use the Intel Distribution of OpenVINO toolkit to deploy computer vision capabilities inside a range of edge applications.,intermediate
Artificial Intelligence,"This course gives a survey of topics in AI along with in-depth foundational concepts such as classical search, probability, machine learning, logic and planning.",intermediate
Secure and Private AI,Learn how to extend PyTorch with the tools necessary to train AI models that preserve user privacy.,advanced
Model Building and Validation,This course will teach you how to start from scratch in understanding and paying attention to what is important in the data and how to answer questions about data.,advanced
Data Visualization and D3.js,Learn the fundamentals of data visualization and apply design and narrative concepts to create your own visualization.,intermediate
Machine Learning for Trading,Implement machine learning based strategies to make trading decisions using real-world data.,intermediate
Machine Learning,"In this course, you'll learn how to apply Supervised, Unsupervised and Reinforcement Learning techniques for solving a range of data science problems.",intermediate
Intro to Hadoop and MapReduce,"In this short course, learn the fundamentals of MapReduce and Apache Hadoop to start making sense of Big Data in the real world!",intermediate
Real-Time Analytics with Apache Storm,"The world is trending in real time! Learn Apache Storm, taught by Twitter, to scalably analyze real-time tweets and drive d3 visualizations. Storm is free, open and fun!",intermediate
A/B Testing,"This course will cover the design and analysis of A/B tests, also known as split tests, which are online experiments used to test potential improvements to a website or mobile application. ",intermediate
Data Analysis with R,Data is everywhere and so much of it is unexplored. Learn how to investigate and summarize data sets using R and eventually create your own analysis.,intermediate
Knowledge-Based AI: Cognitive Systems,The twin goals of knowledge-based artificial intelligence (AI) are to build AI agents capable of human-level intelligence and gain insights into human cognition.,advanced
Introduction to TensorFlow Lite,Learn how to deploy deep learning models on mobile and embedded devices with TensorFlow Lite.,intermediate
Introduction to Computer Vision,"This course provides an introduction to computer vision including fundamentals, methods for application and machine learning classification.",intermediate
Intro to TensorFlow for Deep Learning,"Developed by Google and Udacity, this course teaches a practical approach to deep learning for software developers.",intermediate
Eigenvectors and Eigenvalues,Learn how to calculate eigenvalues and eigenvectors and why they are important for AI applications.,beginner
Intro to Artificial Intelligence,"This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing.",intermediate
Artificial Intelligence for Robotics,"Learn how to program all the major systems of a robotic car. Topics include planning, search, localization, tracking, and control.",advanced
Intro to Deep Learning with PyTorch,Learn the basics of deep learning and implement your own deep neural networks with PyTorch,intermediate
AWS DeepRacer,Learn the fundamentals of machine learning and reinforcement learning in a fun and engaging way through autonomous driving with AWS DeepRacer.,intermediate
Reinforcement Learning,Learn how to engage with machine learning from a theoretical perspective. Explore automated decision-making and dive into advanced algorithms. ,advanced
Introduction to Machine Learning Course,"This class will teach you the end-to-end process of investigating data through a machine learning lens. Learn online, with Udacity.",intermediate
Microsoft Power Platform,"Learn to build powerful and effective solutions with ease with Microsoft Power Platform. Created in partnership with the Microsoft Power Platform team, this course will introduce you to efficient low-code solutions for data analytics, app development, and artifical intelligence.",beginner
Web Tooling & Automation,"In this course, you’ll learn how to setup your development environment and save a lot of time and effort with automatic optimization.",intermediate
Front End Frameworks,"Explore and build interactive, single-page applications with popular JavaScript frameworks!",advanced
Responsive Web Design Fundamentals,Learn and practice strategies for developing websites that look great on every device! Made with Google's Pete LePage.,intermediate
How to Install Android Studio,Participate in this short tutorial to install Android Studio on your computer and set up a new project using the program's Project Wizard.,beginner
Website Performance Optimization,"Learn how browsers convert HTML, CSS and JavaScript into websites while you experiment with Chrome Developer Tools to measure and optimize website speed!",intermediate
iOS Networking with Swift,Learn how to incorporate networking into your apps to access data from around the world. Build the On the Map app to share location and fun links with fellow students.,advanced
JavaScript Design Patterns,Learn the importance of code organization and how to implement it with either vanilla JavaScript or an organizational library or framework.,advanced
Android Performance,"Performance matters to users, so it must matter to you. Learn how to identify and fix bottlenecks in your Android applications, and ensure a smooth user experience.",advanced
Responsive Images,Go beyond image tags! Learn how to make images a part of your responsive design workflow.,intermediate
Xcode Debugging,"In this course, you'll learn standard methodologies for debugging software, and how to use Xcode's debugging tools to find and squash bugs.",advanced
Build Native Mobile Apps with Flutter,Learn from experts at Google how to use Flutter to craft high-quality native interfaces on iOS and Android devices in record time.,intermediate
JavaScript Promises,Learn how to simplify asynchronous work with Native JavaScript Promises!,advanced
UIKit Fundamentals,"Learn the iOS UIKit framework, which is the cornerstone of creating user interfaces in all iOS apps and crucial for any iOS Developer to be intimately familiar with.",intermediate
Client-Server Communication,"Learn how a client communicates with a server, including HTTP's request and response cycle, HTTP/2 and HTTPs.",advanced
What is Programming?,This course is your first step towards a career in programming.,beginner
Building High Conversion Web Forms,"Increase conversions with best practices for fast, efficient forms! Learn how to design and build web forms for users on any device.",intermediate
